latitude,longitude,brightness,frp,bright_t31,acq_date,acq_time,satellite,confidence,daynight,NOM_DEP,NOM_PROV,NOM_MUN,HECTARES
-18.34747,-57.68401,325.23,2.68,285.18,2024-08-26,531,N20,n,N,Santa Cruz,German Busch,Puerto Quijarro,145026.251
-16.4221,-64.03653,332.06,2.35,305.07,2024-07-18,1810,N,l,D,Santa Cruz,Sara,Santa Rosa del Sara,411372.581
-13.81117,-66.98205,335.0,13.17,302.05,2024-01-09,1752,N,l,D,Beni,General Jose Ballivi,Santa Rosa,1210566.888
-16.42172,-62.78601,308.1,12.3,290.67,2024-07-20,501,N,n,N,Santa Cruz,Ñuflo De Chavez,San Javier,338137.628
-16.9497,-60.4131,321.4,21.7,303.9,2024-08-28,1805,Aqua,22,D,Santa Cruz,Velasco,San Rafael,973100.718
-14.69971,-65.45184,331.99,2.66,306.7,2024-09-06,1757,N20,l,D,Beni,Moxos,San Ignacio,2001132.642
-16.87956,-59.15215,333.04,48.9,298.2,2024-07-23,1636,N,n,D,Santa Cruz,Angel Sandoval,San Matías,2708229.504
-11.87517,-65.86906,304.07,1.21,285.95,2024-10-17,530,N,n,N,Beni,Vaca Diez,Riberalta,972562.88
-17.26687,-58.84617,352.1,25.92,306.32,2024-08-05,1756,N20,n,D,Santa Cruz,Angel Sandoval,San Matías,2708229.504
-14.55202,-64.01772,311.24,2.99,295.49,2024-10-07,518,N,n,N,Beni,Cercado,San Javier,817332.335
-16.62652,-59.82905,333.94,8.39,306.28,2024-09-07,1714,N,l,D,Santa Cruz,Velasco,San Rafael,973100.718
-15.93785,-61.39977,319.16,6.99,288.94,2024-06-05,429,N20,n,N,Santa Cruz,Velasco,San Ignacio de Velasco,4910231.16
-15.40914,-61.33332,347.6,5.05,305.94,2024-08-27,1744,N20,n,D,Santa Cruz,Velasco,San Ignacio de Velasco,4910231.16
-17.43697,-58.88599,367.0,11.1,305.37,2024-09-09,1635,N,h,D,Santa Cruz,Angel Sandoval,San Matías,2708229.504
-14.0418,-65.2381,310.5,9.8,290.5,2024-09-28,203,Terra,41,N,Beni,Yacuma,Santa Ana de Yacuma,2009278.188
-14.92773,-61.40007,347.72,5.91,305.51,2024-08-31,1746,N,n,D,Santa Cruz,Velasco,San Ignacio de Velasco,4910231.16
-15.91365,-62.14116,314.22,1.29,292.57,2024-08-17,500,N20,n,N,Santa Cruz,Ñuflo De Chavez,Concepción,3510852.308
-15.336,-63.30873,332.24,2.49,303.49,2024-09-02,1732,N20,l,D,Santa Cruz,Guarayos,Ascención de Guarayos,867384.615
-15.45961,-63.99933,350.79,29.37,306.69,2024-10-01,1803,N,n,D,Beni,Marban,San Andrés,935478.015
-14.57242,-62.99645,322.62,6.14,297.63,2024-10-02,536,N20,n,N,Santa Cruz,Guarayos,Urubicha,1046999.667
-15.88485,-62.8663,340.73,9.83,302.64,2024-09-10,1758,N,n,D,Santa Cruz,Guarayos,Ascención de Guarayos,867384.615
-16.03183,-62.96771,340.01,9.32,296.87,2024-10-12,1821,N20,n,D,Santa Cruz,Guarayos,Ascención de Guarayos,867384.615
-15.9433,-62.29461,305.7,1.32,294.35,2024-09-08,603,N,n,N,Santa Cruz,Ñuflo De Chavez,Concepción,3510852.308
-15.80255,-62.5204,321.05,1.84,294.94,2024-09-12,448,N,n,N,Santa Cruz,Ñuflo De Chavez,Concepción,3510852.308
-14.64338,-63.04274,319.18,3.64,294.22,2024-10-07,518,N,n,N,Santa Cruz,Guarayos,Urubicha,1046999.667
-14.84109,-60.53993,308.35,1.9,296.36,2024-09-25,544,N,n,N,Santa Cruz,Velasco,San Ignacio de Velasco,4910231.16
-21.77985,-63.28156,306.34,0.8,296.16,2024-02-23,527,N20,n,N,Tarija,Gran Chaco,Yacuiba,364068.557
-14.81207,-63.10546,306.9,1.12,290.2,2024-10-12,524,N,n,N,Santa Cruz,Guarayos,Urubicha,1046999.667
-17.36479,-58.9845,313.08,1.25,296.2,2024-09-08,447,N20,n,N,Santa Cruz,Angel Sandoval,San Matías,2708229.504
-13.3242,-64.4009,348.3,44.3,302.3,2024-10-02,1840,Aqua,93,D,Beni,Mamore,San Ramón,1007855.847
-13.32924,-63.04658,309.06,4.35,295.24,2024-10-02,512,N,n,N,Beni,Itenez,Magdalena,1363449.184
-17.05223,-58.57725,306.47,1.39,294.78,2024-07-26,512,N20,n,N,Santa Cruz,Angel Sandoval,San Matías,2708229.504
-16.5981,-65.47237,336.13,6.33,290.76,2024-10-11,1840,N20,n,D,Cochabamba,Chapare,Villa Tunari,1456095.378
-14.26328,-63.1485,315.37,1.64,289.74,2024-10-01,531,N,n,N,Santa Cruz,Guarayos,Urubicha,1046999.667
-14.54,-63.44402,367.0,19.51,303.72,2024-10-02,1809,N20,h,D,Santa Cruz,Guarayos,Ascención de Guarayos,867384.615
-15.81292,-62.88725,353.19,19.05,311.96,2024-09-05,1752,N,n,D,Santa Cruz,Guarayos,Ascención de Guarayos,867384.615
-15.0437,-61.8527,313.1,12.9,298.9,2024-09-25,141,Terra,68,N,Santa Cruz,Ñuflo De Chavez,Concepción,3510852.308
-16.35995,-59.85056,367.0,15.48,310.64,2024-08-14,1804,N,h,D,Santa Cruz,Velasco,San Ignacio de Velasco,4910231.16
-16.36873,-62.03646,340.04,9.28,294.61,2024-07-20,501,N,n,N,Santa Cruz,Ñuflo De Chavez,Concepción,3510852.308
-15.17736,-63.34363,340.73,9.31,301.71,2024-09-01,1751,N20,n,D,Santa Cruz,Guarayos,Ascención de Guarayos,867384.615
-12.6254,-68.0831,376.8,161.0,309.0,2024-10-12,1848,Aqua,100,D,La Paz,Abel Iturralde,Ixiamas,3745288.103
-15.1921,-64.2189,313.1,19.1,285.7,2024-09-30,1413,Terra,52,D,Beni,Marban,San Andrés,935478.015
-12.66221,-63.1083,331.88,10.17,298.75,2024-09-28,1744,N20,n,D,Beni,Itenez,Magdalena,1363449.184
-20.0756,-65.75407,343.56,9.63,295.91,2024-06-26,1705,N20,n,D,Potosi,Jose Maria Linares,"Caiza ""D""",137600.723
-17.76463,-59.05199,340.85,6.32,302.02,2024-08-27,1743,N20,n,D,Santa Cruz,Angel Sandoval,San Matías,2708229.504
-16.42102,-59.16027,336.45,6.48,307.52,2024-07-31,1750,N20,l,D,Santa Cruz,Angel Sandoval,San Matías,2708229.504
-16.75387,-60.83865,356.31,7.72,299.64,2024-12-30,1659,N20,n,D,Santa Cruz,Velasco,San Rafael,973100.718
-16.32498,-59.70709,315.51,1.58,291.75,2024-09-06,524,N20,n,N,Santa Cruz,Velasco,San Ignacio de Velasco,4910231.16
-13.81755,-64.59531,344.38,41.24,303.14,2024-08-04,1816,N20,n,D,Beni,Mamore,San Ramón,1007855.847
-14.55521,-65.33765,312.07,9.92,292.64,2024-09-08,446,N20,n,N,Beni,Moxos,San Ignacio,2001132.642
-15.64641,-62.06015,335.27,5.27,297.44,2024-09-04,538,N,n,N,Santa Cruz,Ñuflo De Chavez,Concepción,3510852.308
-15.3148,-63.07827,307.96,2.13,294.59,2024-10-02,536,N20,n,N,Santa Cruz,Guarayos,Urubicha,1046999.667
-21.17434,-63.21716,338.28,4.23,293.22,2024-01-09,611,N20,n,N,Tarija,Gran Chaco,Villamontes,1178412.511
-16.49122,-60.00182,323.98,1.83,295.67,2024-09-01,518,N20,n,N,Santa Cruz,Velasco,San Rafael,973100.718
-16.68957,-60.04233,320.12,1.94,294.03,2024-09-02,459,N20,n,N,Santa Cruz,Velasco,San Rafael,973100.718
